(antibody_lab) root@0ccb07293440:~/cyx/antibody_lab# CUDA_VISIBLE_DEVICES=6 python train.py
>>> 使用设备: cuda
>>> 加载真实 SAbDab 数据集...
数据切分: 训练集 11946 条，测试集 1328 条
>>> 初始化模型...
Some weights of EsmModel were not initialized from the model checkpoint at ./models/esm2_35M/ and are newly initialized: ['pooler.dense.bias', 'pooler.dense.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.

>>> 开始训练! 🚀
Epoch 1/10 | Step 0 | Train Loss: 3.4396
Epoch 1/10 | Step 50 | Train Loss: 2.8576
Epoch 1/10 | Step 100 | Train Loss: 2.9099
Epoch 1/10 | Step 150 | Train Loss: 2.6117
Epoch 1/10 | Step 200 | Train Loss: 2.3944
Epoch 1/10 | Step 250 | Train Loss: 2.5894
Epoch 1/10 | Step 300 | Train Loss: 2.2252
Epoch 1/10 | Step 350 | Train Loss: 2.1688
Epoch 1/10 | Step 400 | Train Loss: 2.4903
Epoch 1/10 | Step 450 | Train Loss: 2.4405
Epoch 1/10 | Step 500 | Train Loss: 2.3742
Epoch 1/10 | Step 550 | Train Loss: 2.3469
Epoch 1/10 | Step 600 | Train Loss: 2.0078
Epoch 1/10 | Step 650 | Train Loss: 2.1733
Epoch 1/10 | Step 700 | Train Loss: 2.2012
Epoch 1/10 | Step 750 | Train Loss: 2.2615
Epoch 1/10 | Step 800 | Train Loss: 2.2436
Epoch 1/10 | Step 850 | Train Loss: 1.9131
Epoch 1/10 | Step 900 | Train Loss: 1.7870
Epoch 1/10 | Step 950 | Train Loss: 2.2202
Epoch 1/10 | Step 1000 | Train Loss: 1.7288
Epoch 1/10 | Step 1050 | Train Loss: 2.4521
Epoch 1/10 | Step 1100 | Train Loss: 1.9489
Epoch 1/10 | Step 1150 | Train Loss: 2.2214
Epoch 1/10 | Step 1200 | Train Loss: 1.9245
Epoch 1/10 | Step 1250 | Train Loss: 1.7214
Epoch 1/10 | Step 1300 | Train Loss: 1.5902
Epoch 1/10 | Step 1350 | Train Loss: 1.7542
Epoch 1/10 | Step 1400 | Train Loss: 1.7043
Epoch 1/10 | Step 1450 | Train Loss: 2.1955
Epoch 1/10 | Step 1500 | Train Loss: 2.4578
Epoch 1/10 | Step 1550 | Train Loss: 1.6360
Epoch 1/10 | Step 1600 | Train Loss: 1.9349
Epoch 1/10 | Step 1650 | Train Loss: 1.5651
Epoch 1/10 | Step 1700 | Train Loss: 2.1643
Epoch 1/10 | Step 1750 | Train Loss: 1.3854
Epoch 1/10 | Step 1800 | Train Loss: 2.1595
Epoch 1/10 | Step 1850 | Train Loss: 1.1210
Epoch 1/10 | Step 1900 | Train Loss: 1.4128
Epoch 1/10 | Step 1950 | Train Loss: 1.0750
Epoch 1/10 | Step 2000 | Train Loss: 2.8572
Epoch 1/10 | Step 2050 | Train Loss: 1.3581
Epoch 1/10 | Step 2100 | Train Loss: 2.3719
Epoch 1/10 | Step 2150 | Train Loss: 1.3542
Epoch 1/10 | Step 2200 | Train Loss: 1.2057
Epoch 1/10 | Step 2250 | Train Loss: 1.3332
Epoch 1/10 | Step 2300 | Train Loss: 1.2897
Epoch 1/10 | Step 2350 | Train Loss: 1.5053
Epoch 1/10 | Step 2400 | Train Loss: 2.4147
Epoch 1/10 | Step 2450 | Train Loss: 1.6778
Epoch 1/10 | Step 2500 | Train Loss: 1.7527
Epoch 1/10 | Step 2550 | Train Loss: 1.4097
Epoch 1/10 | Step 2600 | Train Loss: 2.9943
Epoch 1/10 | Step 2650 | Train Loss: 2.2031
Epoch 1/10 | Step 2700 | Train Loss: 1.0344
Epoch 1/10 | Step 2750 | Train Loss: 1.8551
Epoch 1/10 | Step 2800 | Train Loss: 2.0199
Epoch 1/10 | Step 2850 | Train Loss: 1.2360
Epoch 1/10 | Step 2900 | Train Loss: 1.5347
Epoch 1/10 | Step 2950 | Train Loss: 1.0708
==> Epoch 1 结束. 平均训练 Loss: 1.9246
💾 已保存当前最优模型！
Epoch 2/10 | Step 0 | Train Loss: 1.2794
Epoch 2/10 | Step 50 | Train Loss: 1.1239
Epoch 2/10 | Step 100 | Train Loss: 1.8357
Epoch 2/10 | Step 150 | Train Loss: 1.4678
