>>> 使用设备: cuda
>>> 加载真实 SAbDab 数据集...
数据切分: 训练集 10619 条，验证集 1327 条，测试集 1328 条
>>> 初始化模型...

>>> 开始训练! 🚀
Epoch 1/200 | Step 0 | Train Loss: 3.7720
Epoch 1/200 | Step 50 | Train Loss: 2.8034
Epoch 1/200 | Step 100 | Train Loss: 2.8538
Epoch 1/200 | Step 150 | Train Loss: 2.2293
Epoch 1/200 | Step 200 | Train Loss: 2.3590
Epoch 1/200 | Step 250 | Train Loss: 2.2565
Epoch 1/200 | Step 300 | Train Loss: 2.4222
Epoch 1/200 | Step 350 | Train Loss: 2.3232
Epoch 1/200 | Step 400 | Train Loss: 2.5427
Epoch 1/200 | Step 450 | Train Loss: 2.5196
Epoch 1/200 | Step 500 | Train Loss: 2.5568
Epoch 1/200 | Step 550 | Train Loss: 2.6327
Epoch 1/200 | Step 600 | Train Loss: 2.3909
Epoch 1/200 | Step 650 | Train Loss: 2.4917
Epoch 1/200 | Step 700 | Train Loss: 3.1894
Epoch 1/200 | Step 750 | Train Loss: 2.3473
Epoch 1/200 | Step 800 | Train Loss: 1.8596
Epoch 1/200 | Step 850 | Train Loss: 2.2523
Epoch 1/200 | Step 900 | Train Loss: 2.1127
Epoch 1/200 | Step 950 | Train Loss: 2.2537
Epoch 1/200 | Step 1000 | Train Loss: 2.0539
Epoch 1/200 | Step 1050 | Train Loss: 1.5556
Epoch 1/200 | Step 1100 | Train Loss: 2.2131
Epoch 1/200 | Step 1150 | Train Loss: 2.2681
Epoch 1/200 | Step 1200 | Train Loss: 1.6965
Epoch 1/200 | Step 1250 | Train Loss: 2.1526
Epoch 1/200 | Step 1300 | Train Loss: 1.7128
Epoch 1/200 | Step 1350 | Train Loss: 2.4782
Epoch 1/200 | Step 1400 | Train Loss: 1.8188
Epoch 1/200 | Step 1450 | Train Loss: 1.4745
Epoch 1/200 | Step 1500 | Train Loss: 1.6677
Epoch 1/200 | Step 1550 | Train Loss: 1.4128
Epoch 1/200 | Step 1600 | Train Loss: 1.9496
Epoch 1/200 | Step 1650 | Train Loss: 1.7028
Epoch 1/200 | Step 1700 | Train Loss: 2.5224
Epoch 1/200 | Step 1750 | Train Loss: 2.1887
Epoch 1/200 | Step 1800 | Train Loss: 1.1876
Epoch 1/200 | Step 1850 | Train Loss: 2.6995
Epoch 1/200 | Step 1900 | Train Loss: 1.8854
Epoch 1/200 | Step 1950 | Train Loss: 1.9169
Epoch 1/200 | Step 2000 | Train Loss: 1.6067
Epoch 1/200 | Step 2050 | Train Loss: 1.5694
Epoch 1/200 | Step 2100 | Train Loss: 1.3756
Epoch 1/200 | Step 2150 | Train Loss: 1.9199
Epoch 1/200 | Step 2200 | Train Loss: 2.1338
Epoch 1/200 | Step 2250 | Train Loss: 1.9209
Epoch 1/200 | Step 2300 | Train Loss: 1.5657
Epoch 1/200 | Step 2350 | Train Loss: 1.6868
Epoch 1/200 | Step 2400 | Train Loss: 1.3732
Epoch 1/200 | Step 2450 | Train Loss: 1.8487
Epoch 1/200 | Step 2500 | Train Loss: 1.5940
Epoch 1/200 | Step 2550 | Train Loss: 1.0598
Epoch 1/200 | Step 2600 | Train Loss: 2.4131
Epoch 1/200 | Step 2650 | Train Loss: 1.5528
==> Epoch 1 结束. 平均训练 Loss: 2.0337 | 验证集 Loss: 1.5242
💾 验证集 Loss 改善为 1.5242，已保存当前最优模型！
Epoch 2/200 | Step 0 | Train Loss: 1.2000
Epoch 2/200 | Step 50 | Train Loss: 0.7176
Epoch 2/200 | Step 100 | Train Loss: 1.9235
Epoch 2/200 | Step 150 | Train Loss: 1.2179
Epoch 2/200 | Step 200 | Train Loss: 1.5048
Epoch 2/200 | Step 250 | Train Loss: 1.2203
Epoch 2/200 | Step 300 | Train Loss: 1.3412
Epoch 2/200 | Step 350 | Train Loss: 1.3209
Epoch 2/200 | Step 400 | Train Loss: 1.2177
Epoch 2/200 | Step 450 | Train Loss: 1.4103
Epoch 2/200 | Step 500 | Train Loss: 1.3929
Epoch 2/200 | Step 550 | Train Loss: 2.0165
Epoch 2/200 | Step 600 | Train Loss: 1.4707
Epoch 2/200 | Step 650 | Train Loss: 1.6741
Epoch 2/200 | Step 700 | Train Loss: 1.2025
Epoch 2/200 | Step 750 | Train Loss: 1.8686
Epoch 2/200 | Step 800 | Train Loss: 1.0516
Epoch 2/200 | Step 850 | Train Loss: 1.2561
Epoch 2/200 | Step 900 | Train Loss: 1.2115
Epoch 2/200 | Step 950 | Train Loss: 1.8656
Epoch 2/200 | Step 1000 | Train Loss: 0.9963
Epoch 2/200 | Step 1050 | Train Loss: 1.5209
Epoch 2/200 | Step 1100 | Train Loss: 1.8153
Epoch 2/200 | Step 1150 | Train Loss: 2.3708
