>>> 使用设备: cuda
>>> 加载真实 SAbDab 数据集...
数据切分: 训练集 10619 条，验证集 1327 条，测试集 1328 条
>>> 初始化模型...

>>> 开始训练! 🚀
Epoch 1/200 | Step 0 | Train Loss: 3.5078
Epoch 1/200 | Step 50 | Train Loss: 2.8280
Epoch 1/200 | Step 100 | Train Loss: 2.9045
Epoch 1/200 | Step 150 | Train Loss: 2.9036
Epoch 1/200 | Step 200 | Train Loss: 2.7574
Epoch 1/200 | Step 250 | Train Loss: 3.0235
Epoch 1/200 | Step 300 | Train Loss: 2.7238
Epoch 1/200 | Step 350 | Train Loss: 2.8673
Epoch 1/200 | Step 400 | Train Loss: 2.8016
Epoch 1/200 | Step 450 | Train Loss: 2.8377
Epoch 1/200 | Step 500 | Train Loss: 2.9785
Epoch 1/200 | Step 550 | Train Loss: 2.7726
Epoch 1/200 | Step 600 | Train Loss: 2.4070
Epoch 1/200 | Step 650 | Train Loss: 1.9115
Epoch 1/200 | Step 700 | Train Loss: 2.4625
Epoch 1/200 | Step 750 | Train Loss: 2.1186
Epoch 1/200 | Step 800 | Train Loss: 1.8139
Epoch 1/200 | Step 850 | Train Loss: 2.4914
Epoch 1/200 | Step 900 | Train Loss: 1.8889
Epoch 1/200 | Step 950 | Train Loss: 1.9052
Epoch 1/200 | Step 1000 | Train Loss: 2.7133
Epoch 1/200 | Step 1050 | Train Loss: 2.0195
Epoch 1/200 | Step 1100 | Train Loss: 1.7577
Epoch 1/200 | Step 1150 | Train Loss: 2.6053
Epoch 1/200 | Step 1200 | Train Loss: 1.6596
Epoch 1/200 | Step 1250 | Train Loss: 1.8789
Epoch 1/200 | Step 1300 | Train Loss: 2.5430
Epoch 1/200 | Step 1350 | Train Loss: 1.9527
Epoch 1/200 | Step 1400 | Train Loss: 2.1035
Epoch 1/200 | Step 1450 | Train Loss: 1.9183
Epoch 1/200 | Step 1500 | Train Loss: 1.7916
Epoch 1/200 | Step 1550 | Train Loss: 1.9297
Epoch 1/200 | Step 1600 | Train Loss: 1.4870
Epoch 1/200 | Step 1650 | Train Loss: 1.4473
Epoch 1/200 | Step 1700 | Train Loss: 1.9383
Epoch 1/200 | Step 1750 | Train Loss: 1.8131
Epoch 1/200 | Step 1800 | Train Loss: 1.7776
Epoch 1/200 | Step 1850 | Train Loss: 1.8643
Epoch 1/200 | Step 1900 | Train Loss: 1.6534
Epoch 1/200 | Step 1950 | Train Loss: 1.3447
Epoch 1/200 | Step 2000 | Train Loss: 1.6344
Epoch 1/200 | Step 2050 | Train Loss: 1.1453
